shift,cagr,sharpe,max_drawdown,mean_worst_months
1,0.08026731633180018,0.3670853395411548,-0.3005870890983331,-0.1221823825449206
2,0.09087179764540498,0.4155550730351674,-0.3005870890983331,-0.1221823825449206
3,0.09414924788611256,0.43109715478151206,-0.3005870890983331,-0.1221823825449206
4,0.087904711499041,0.4033710439973057,-0.3005870890983331,-0.1242584839321359
5,0.0829391114000062,0.3805192627031614,-0.3005870890983331,-0.1242584839321359
6,0.07946647082568781,0.36337902570445657,-0.3005870890983331,-0.1242584839321359
7,0.07401530936895373,0.33695482592851106,-0.3005870890983331,-0.1242584839321359
8,0.08926989878184433,0.40211591139262826,-0.3005870890983331,-0.1242584839321359
9,0.09859268206591487,0.4435354306535607,-0.3005870890983331,-0.1242584839321359
10,0.09478552795568063,0.42701819882550246,-0.3005870890983331,-0.1242584839321359
11,0.0954306302072887,0.43045008409643754,-0.3005870890983331,-0.1242584839321359
12,0.09803443896774078,0.44320514133610495,-0.3005870890983331,-0.1242584839321359
13,0.09742297662442301,0.4387712414567774,-0.3005870890983331,-0.1242584839321359
14,0.10205751727815615,0.46088637076359107,-0.3005870890983331,-0.1242584839321359
15,0.10184770229664641,0.46065318256551907,-0.3005870890983331,-0.1242584839321359
16,0.09766289096655845,0.44205758610054974,-0.3005870890983331,-0.1242584839321359
17,0.10181579501055205,0.4629158733420507,-0.3005870890983331,-0.1242584839321359
18,0.10242008638716005,0.46574087107752987,-0.3005870890983331,-0.1243084839321359
19,0.11320858405099932,0.5152961528777885,-0.3005870890983331,-0.12259034147188863
20,0.11047965197244114,0.5029329997153962,-0.3005870890983331,-0.12259034147188863
21,0.1167163677152292,0.5309425242351531,-0.3005870890983331,-0.12264034147188863
22,0.11241133851715013,0.5130015890893979,-0.3005870890983331,-0.11919861179428397
23,0.11069292832441868,0.5083997959576603,-0.3005870890983331,-0.11919861179428397
24,0.10422783506148559,0.47887469345923717,-0.3005870890983331,-0.11919861179428397
25,0.10042954661653214,0.4603028106227628,-0.3005870890983331,-0.11988788992034267
26,0.10654413071340518,0.49209825724281786,-0.3005870890983331,-0.11988788992034267
27,0.09982929218080994,0.4587335640647957,-0.3005870890983331,-0.1221823825449206
28,0.10528346009713685,0.4816559053834062,-0.3005870890983331,-0.1221823825449206
29,0.10587548482700448,0.4847347241255346,-0.3005870890983331,-0.1221823825449206
30,0.09813578148523927,0.4455151079340663,-0.3005870890983331,-0.1242584839321359
31,0.0975944633950987,0.440842682986789,-0.3005870890983331,-0.1242584839321359
32,0.10321405832064756,0.46715225663015797,-0.3005870890983331,-0.1242584839321359
33,0.09655846790814282,0.4363637270941879,-0.3005870890983331,-0.1242584839321359
34,0.10315112601055598,0.4636893046544096,-0.3005870890983331,-0.1242584839321359
35,0.09983919004361952,0.449707648942953,-0.3005870890983331,-0.1242584839321359
36,0.09251097213705028,0.4164876167764709,-0.3005870890983331,-0.1242584839321359
37,0.09255024037377302,0.4170541889782865,-0.3005870890983331,-0.1242584839321359
38,0.09724158118586379,0.43951374641229485,-0.3005870890983331,-0.1242584839321359
39,0.1010612272628304,0.45728967205148274,-0.3005870890983332,-0.1242584839321359
40,0.09815324411814474,0.4443406597661183,-0.3005870890983331,-0.1242584839321359
41,0.0933909658078822,0.4236502731428762,-0.3005870890983331,-0.1242584839321359
42,0.08939361326191375,0.4047083736053811,-0.3005870890983331,-0.1242584839321359
43,0.08576810881584773,0.3868985667780388,-0.3005870890983331,-0.1243084839321359
44,0.09286167033346038,0.4199873336261695,-0.3005870890983331,-0.12108942287515019
45,0.10042009076952851,0.4532049463235574,-0.300587089098333,-0.12113942287515019
46,0.10018005306553834,0.4531529463533024,-0.3005870890983331,-0.11544201399671652
47,0.102526904810462,0.46452064578760127,-0.3005870890983331,-0.11544201399671652
48,0.0943554963933726,0.4272416763950698,-0.3005870890983331,-0.11910148889555576
49,0.09505712831207136,0.43001503998598345,-0.3005870890983331,-0.11915148889555575
50,0.09325916068395235,0.4213289803401136,-0.3005870890983332,-0.12108942287515019
51,0.09970142423571349,0.4501541866537266,-0.300587089098333,-0.12113942287515019
52,0.10652813355765156,0.4851646335770729,-0.3005870890983331,-0.11544201399671652
53,0.10733265727289099,0.4922642006232097,-0.3005870890983331,-0.11544201399671652
54,0.10672424808135972,0.4905531266232506,-0.3005870890983331,-0.11544201399671652
55,0.10445907671982435,0.4794602148986045,-0.3005870890983332,-0.11544201399671652
56,0.11434314076124208,0.5216239836690764,-0.300587089098333,-0.11544201399671652
57,0.10961455908040452,0.49933666267838345,-0.3005870890983331,-0.11544201399671652
58,0.1021192545704821,0.4632241748952839,-0.30850723228409627,-0.11910148889555576
59,0.09882723107130209,0.4472926918130511,-0.3010352197509877,-0.11915148889555575
60,0.09426787712739415,0.42462635760531875,-0.2964797776588889,-0.1243084839321359
61,0.10442777061896469,0.4759938461251325,-0.24432295488271072,-0.11317636826731488
62,0.10351690407712622,0.47509042747281444,-0.24432295488271072,-0.11317636826731488
63,0.10051710519294099,0.4617809920485044,-0.24432295488271072,-0.11317636826731488
64,0.09952695161439795,0.456235430571174,-0.2513420965024872,-0.11322636826731487
65,0.08754073856838462,0.39426937412918955,-0.30083821851724457,-0.1242584839321359
66,0.09374989978216597,0.42046946804434976,-0.2803753151053666,-0.1243084839321359
67,0.1043814707235664,0.4755925699040884,-0.24432295488271083,-0.11317636826731488
68,0.1025176402058734,0.4713990118339507,-0.24432295488271083,-0.11317636826731488
69,0.09437056603616845,0.43871702207594315,-0.24432295488271072,-0.11317636826731488
70,0.09469105852776383,0.44068786147103467,-0.24432295488271083,-0.11317636826731488
71,0.09198804600479882,0.42782884435920104,-0.24432295488271072,-0.11317636826731488
72,0.08738275593405231,0.4052085970326718,-0.24432295488271083,-0.11317636826731488
73,0.09561133718597814,0.4388290394303034,-0.24432295488271072,-0.11317636826731488
74,0.093324266948982,0.42619521175914976,-0.25115103161317576,-0.11322636826731487
75,0.08166133703426737,0.3696021962803467,-0.3005870890983331,-0.1243084839321359
76,0.08654986857731828,0.39085983901666405,-0.3005870890983331,-0.12108942287515019
