mes,credito_z,condicoes_z,credito_nivel,drawdown_SPY
2022-01,-0.7680363329172258,-0.0957630571340642,1.93,-0.052741385131259366
2022-02,0.12506041653223923,0.3977520704084785,2.34,-0.08070160415362371
2022-03,-0.7490192485272047,0.6871667435718272,1.93,-0.04614475131903972
2022-04,-0.48116227044993826,0.8269110014737981,2.05,-0.12986377204454724
2022-05,-0.18718220159901153,1.1415855824228218,2.18,-0.12789962075894068
2022-06,0.09540254146014213,1.4659753116900243,2.31,-0.199813452404755
2022-07,0.19034497753584723,1.169959009392928,2.36,-0.12612619625915955
2022-08,-0.1962786040036847,1.0859491981530622,2.18,-0.16178193038178645
2022-09,-0.06826330950085929,1.52021616922294,2.24,-0.23927184023145576
2022-10,0.012693441459283528,1.3492578124600236,2.28,-0.1774432422215153
2022-11,-0.27483723173254543,1.0452784780522466,2.15,-0.13171606852342865
2022-12,-0.6243815895497932,0.8285479332401213,1.99,-0.1817537495260848
2023-01,-0.8002415368715053,0.4437358649247993,1.9,-0.130296304612187
2023-02,-0.7653720639981711,0.5920458772934915,1.9,-0.15216303159030986
2023-03,-0.2614414836163402,1.264436159604015,2.11,-0.1207271190681437
2023-04,-0.29116473239986784,1.2377279370078824,2.08,-0.1066808048957163
2023-05,0.04014390343468416,1.0944615167062175,2.16,-0.10255706370616013
2023-06,-0.944803964753901,0.9789154168941122,1.88,-0.04440294389832644
2023-07,-1.3261673389304591,0.69084215775542,1.77,-0.013122999861239215
2023-08,-1.0593802401315109,0.4067287132999966,1.83,-0.029161872889234774
2023-09,-1.3101926427385642,0.48899094145989647,1.78,-0.07521293385734307
2023-10,-0.9661496223389677,0.5943136412024297,1.85,-0.09528875475417009
2023-11,-1.8292288240139352,0.38196957519374397,1.67,-0.01264908511235674
2023-12,-1.972004169058143,0.1188953891954608,1.61,0.0
