,inicio,fim,meses,CAGR,volatilidade_anual,Sharpe_excesso_BIL,max_drawdown,retorno_acumulado
factor_proxy_VFMF,2018-03,2026-06,100,0.12542700130603568,0.18744644895919677,0.5924665367096476,-0.3035386323444228,1.6769756531268798
smallcap_VB_sempre_ligada,2018-03,2026-06,100,0.10810299871455142,0.2074497989830939,0.4792927532986575,-0.30058694757919535,1.3523453681219153
smallcap_VB_com_regime_bruto,2018-03,2026-06,100,0.06743789974983083,0.17215110930855526,0.32037490079523023,-0.3165442551819323,0.7226160433273019
smallcap_VB_com_regime_liquido,2018-03,2026-06,100,0.06693122806861207,0.17213503379617034,0.31761476311574316,-0.31792851975278513,0.7158140610335575
renda_fixa_BIL,2018-03,2026-06,100,0.025388674185032434,0.005666309999904593,,-0.0016489989153370965,0.2323601172275782
fundo_proxy_bruto,2018-03,2026-06,100,0.07665207704899824,0.11406072422614838,0.48625603560355557,-0.1632877564895452,0.850524565625655
fundo_proxy_liquido,2018-03,2026-06,100,0.0764794143035521,0.11407120580647652,0.484813571138407,-0.1638411775509354,0.8480529467440288
benchmark_2_3_SPY_1_3_BIL,2018-03,2026-06,100,0.10825746040061723,0.11011678163521829,0.7636032585133395,-0.1613217258704388,1.3550792670785698
SPY,2018-03,2026-06,100,0.14679982162661664,0.16515138807372337,0.7636032585133395,-0.23927171999585106,2.1313393771925715
