especificacao,premio_anual,meses_ativos,cobertura_pct,cauda_sem_overlay,cauda_com_overlay,giro_anual
binário 100%,-0.057923109583975896,8,0.07920792079207921,-0.1242584839321359,-0.1242584839321359,0.23762376237623764
dois eixos graduado,-0.027672474061116746,20,0.19801980198019803,-0.1242584839321359,-0.11988788992034267,0.23762376237623764
