meses,CAGR,vol_anual,Sharpe,Sortino,max_drawdown,Calmar,retorno_acumulado,janela,entrada,saida,cap_derisk
101,0.08557644607268844,0.18064500812153564,0.4061833865163027,0.5875765132121396,-0.27327295837807963,0.3131537294454558,0.9959138843040511,24,0.75,0.25,0.33
101,0.07589324891040938,0.16876154424624915,0.3690692263043356,0.5342118713778298,-0.2691131397939073,0.2820124240998789,0.8509326586792174,24,0.75,0.25,0.5
101,0.0659051770366883,0.15828561191388496,0.3234350942062402,0.46625323161235854,-0.2657297133992753,0.24801583606746191,0.7111889899793895,24,0.75,0.25,0.67
101,0.045673092437057417,0.1430951388347021,0.20726302119299625,0.28826562259432925,-0.26203184332483,0.17430359553834218,0.4562941362155968,24,0.75,0.25,1.0
101,0.08847775434626004,0.1915909187319798,0.40836653794270755,0.5638274014577128,-0.301107178118444,0.2938413985981307,1.041258204334734,24,1.0,0.5,0.33
101,0.08049600774047994,0.1850883410095539,0.3763192616691845,0.5089746110726581,-0.31053088592011424,0.2592206166609397,0.9186465864929667,24,1.0,0.5,0.5
101,0.07233966052209229,0.17962442564388473,0.33995887190486107,0.4504036193249646,-0.3202031909849832,0.2259179875739741,0.8001033346118354,24,1.0,0.5,0.67
101,0.05600673613358986,0.17233732777667524,0.2575718643353221,0.3286694600892162,-0.3405684489565278,0.16445074787517647,0.5819568317433421,24,1.0,0.5,1.0
101,0.0900529218894408,0.1945830304609976,0.4125951512982116,0.5748229847361488,-0.3005870890983331,0.29959011932139634,1.0662545682901654,24,1.25,0.75,0.33
101,0.08295042273491315,0.18932282053068172,0.3842567354230954,0.5270962630217734,-0.305599778157185,0.2714348264096176,0.9556396818430108,24,1.25,0.75,0.5
101,0.07571909152481027,0.18484571461462043,0.3527881952787035,0.4764596304712117,-0.3132719701222686,0.24170401040111394,0.8484124135998998,24,1.25,0.75,0.67
101,0.0613115016140946,0.17860225993269638,0.2831466729139072,0.370824224579258,-0.3293121010206519,0.18618053033602194,0.6501021458051173,24,1.25,0.75,1.0
101,0.0938601043570102,0.18879122880345983,0.43706899213475764,0.6423270305992155,-0.2679592911581292,0.35027747666947323,1.1277879215144302,36,0.75,0.25,0.33
101,0.08857152191000672,0.18068182222915655,0.42136157054144124,0.6270568008927561,-0.25115103161317576,0.3526623854224301,1.0427387093653677,36,0.75,0.25,0.5
101,0.08305776415172317,0.17351529559854767,0.40198928009918494,0.6051171362779258,-0.2343427720682223,0.35442852970751426,0.9572717840572833,36,0.75,0.25,0.67
101,0.07171929653853026,0.1627487067949834,0.3524641169824436,0.5340059935933478,-0.20564054013661082,0.3487604948464238,0.7913571181297181,36,0.75,0.25,1.0
101,0.0860229431826629,0.19429096606159324,0.3940965286769282,0.5382495810653782,-0.3005870890983331,0.28618309402677516,1.0028338293641434,36,1.0,0.5,0.33
101,0.07688695596632433,0.1889076925618953,0.355294440715515,0.4735435779836251,-0.3005870890983331,0.25578928288956476,0.865370684420901,36,1.0,0.5,0.5
101,0.06765112774699955,0.1843305040496612,0.3128195919517253,0.4073475640844283,-0.3005870890983331,0.22506331842106625,0.7349240727120894,36,1.0,0.5,0.67
101,0.049435477829844476,0.17797020262899071,0.22076047843240634,0.27594850355975126,-0.30154600066218806,0.16394008781839356,0.5009889539714447,36,1.0,0.5,1.0
101,0.09155479884521522,0.19851397201835358,0.4152593937817733,0.5795309719696169,-0.3005870890983331,0.3045865979136059,1.0903386756945568,36,1.25,0.75,0.33
101,0.08526406806527054,0.19516392745440594,0.3894474235909757,0.5366115702258922,-0.3005870890983331,0.28365845093691805,0.9910850914585283,36,1.25,0.75,0.5
101,0.07886908712415552,0.19248233586820265,0.36146174332381986,0.49230135337275893,-0.3005870890983331,0.2623834821406935,0.894466693103714,36,1.25,0.75,0.67
101,0.06615139130159897,0.1892854282077908,0.3015592052076003,0.4023950273852952,-0.30154600066218806,0.2193741291754228,0.7145186874912923,36,1.25,0.75,1.0
101,0.08850823794449214,0.19350667634491622,0.4067201147304873,0.5555828739527255,-0.3005870890983331,0.29445122945895336,1.041739409018977,48,0.75,0.25,0.33
101,0.08061138519356592,0.18774774887338092,0.374719858500746,0.49914371667654706,-0.3005870890983331,0.2681797991902273,0.9203716491453342,48,0.75,0.25,0.5
101,0.07258656270449948,0.18282328372606454,0.3391268999684652,0.44078045696335455,-0.3005870890983331,0.24148263627102676,0.8035947455011905,48,0.75,0.25,0.67
101,0.05664098608259738,0.1758986814012988,0.26023116447036876,0.3236787258834103,-0.30154600066218806,0.18783530857055003,0.5899716921750886,48,0.75,0.25,1.0
101,0.09050334857514364,0.1943529733336373,0.4152847296162177,0.5705686389053315,-0.3005870890983331,0.3010886091169959,1.0734518093507388,48,1.0,0.5,0.33
101,0.08362549584775514,0.18901313312530615,0.38831341260283436,0.5218755898723758,-0.3005870890983331,0.2782072114228371,0.9659239955795569,48,1.0,0.5,0.5
