ticker,correlacao_todos_meses,correlacao_crises,n_meses_crise,selecionado
IWM,-0.2903864051461686,-0.4106490169124892,65,False
VB,-0.3700823938841773,-0.5242016432889297,65,True
IJR,-0.23719288132496122,-0.3365934305299842,65,False
