fator,media_anual_na_amostra,media_anual_1963_2017
SMB,-0.01988399999999998,0.029434862385321073
HML,-0.0003719999999999799,0.041895412844036646
RMW,0.014640000000000025,0.030985321100917392
CMA,0.0042360000000000375,0.03404220183486236
Mom,0.04199999999999998,0.07823119266055042
