universe,scenario,ticker,cost_per_side,stop_slippage,bars,total_trades,win_rate,total_return,annualized_return,annualized_volatility,return_skewness,return_kurtosis,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,exposure,final_equity
survivors,baseline_15bps,BBDC4.SA,0.0015,0.0,1662,78,0.3717948717948718,-0.22921034586466016,-0.03870495591338141,0.17742988717649052,-0.5851942237205816,14.925874010196434,-0.13332110793117893,-0.18100453819732543,-0.44661601510704463,0.8947932373857013,0.3417569193742479,0.7707896541353398
survivors,baseline_15bps,ITUB4.SA,0.0015,0.0,1662,76,0.27631578947368424,-0.34039140269882984,-0.06114317452202678,0.15837271477387818,-0.10271054753349491,11.193313952766179,-0.31907811276031856,-0.43769653772986133,-0.47081283190689516,0.742241228793677,0.3561973525872443,0.6596085973011702
survivors,baseline_15bps,PETR4.SA,0.0015,0.0,1662,83,0.3614457831325301,-0.3898117718937393,-0.07216436289041461,0.24287154293288846,-2.2971062406876173,30.235796106683186,-0.18364696918034867,-0.2353648981791254,-0.6523668036382684,0.8551680200665382,0.39771359807460893,0.6101882281062607
survivors,baseline_15bps,PRIO3.SA,0.0015,0.0,1662,79,0.3291139240506329,0.4040434907487378,0.05280153861084491,0.3093788438891683,0.4264904197682794,9.665799314684282,0.3202779002519834,0.4788475915603717,-0.5372358403764146,1.409117683541713,0.4657039711191336,1.4040434907487378
survivors,baseline_15bps,RADL3.SA,0.0015,0.0,1662,85,0.35294117647058826,-0.48495675140595396,-0.09570853709809246,0.2133701156025912,1.707866904484231,31.198916469250722,-0.3661143935473963,-0.5370199215480228,-0.6348105575989588,0.6435581850308945,0.42057761732851984,0.515043248594046
survivors,baseline_15bps,RENT3.SA,0.0015,0.0,1662,77,0.2987012987012987,0.0005304476063361374,8.041078760046005e-05,0.2552793416286686,0.7664550561633466,11.721981625648539,0.126991614182497,0.19060469135446917,-0.6180834769042146,1.1251806205981627,0.45306859205776173,1.0005304476063361
survivors,baseline_15bps,SMTO3.SA,0.0015,0.0,1662,67,0.44776119402985076,0.10708457135720573,0.01554434839857799,0.2514865879192808,0.6715807790157481,13.618072351292852,0.18628880693433225,0.2756139134703024,-0.5228064677411706,1.1689393197845772,0.34957882069795426,1.1070845713572057
survivors,baseline_15bps,VALE3.SA,0.0015,0.0,1662,67,0.4626865671641791,1.5997972852844704,0.15588602310883704,0.18546009513152323,1.2056351327366446,11.00900593163685,0.8731586202963263,1.4482634962575072,-0.22795632033806312,2.3219725854377424,0.3983152827918171,2.5997972852844704
survivors,baseline_15bps,VBBR3.SA,0.0015,0.0,1662,91,0.3516483516483517,-0.10291712384616014,-0.016332643776724165,0.22432338444125152,-0.3739452470475366,14.172691378285169,0.03923642856627061,0.054735859001613124,-0.49611833161065333,1.0158499887798567,0.41155234657039713,0.8970828761538399
survivors,baseline_15bps,WEGE3.SA,0.0015,0.0,1662,79,0.3037974683544304,0.46026587314104606,0.05908768483792182,0.2266985259940925,1.2527332382532659,16.367329972891472,0.3653322233092895,0.5755115016918635,-0.40639350747380343,1.4206531055589855,0.44103489771359805,1.460265873141046
survivors,slippage_20bps,BBDC4.SA,0.0015,0.002,1662,78,0.3717948717948718,-0.2683052309924323,-0.046261992861515555,0.1788723657827699,-0.6607222003776928,15.105487186926105,-0.17485866230247027,-0.23579761804632512,-0.46083260274554994,0.8608174619497607,0.3417569193742479,0.7316947690075677
survivors,slippage_20bps,ITUB4.SA,0.0015,0.002,1662,76,0.27631578947368424,-0.36881275236621347,-0.06739212215843127,0.15928438790866736,-0.14462407075646663,11.19044075966466,-0.35823182388896246,-0.4889046108927781,-0.4813018278243737,0.7131466614261186,0.3561973525872443,0.6311872476337865
survivors,slippage_20bps,PETR4.SA,0.0015,0.002,1662,83,0.3493975903614458,-0.4299640725636513,-0.08169111655699723,0.24494552459089117,-2.3569596438770706,30.385803345584655,-0.22197677742387825,-0.28294783984968425,-0.6699989550370931,0.8236060650831006,0.39771359807460893,0.5700359274363487
survivors,slippage_20bps,PRIO3.SA,0.0015,0.002,1662,79,0.31645569620253167,0.340858687120839,0.045476779559672,0.3102595410077246,0.4053030072565081,9.6437507119273,0.297782288455933,0.4436912899053314,-0.5445884441453896,1.3822067541982108,0.4657039711191336,1.340858687120839
survivors,slippage_20bps,RADL3.SA,0.0015,0.002,1662,85,0.3411764705882353,-0.5091184723028194,-0.10227260146968098,0.2143506503139251,1.649322102361183,30.84701196147454,-0.3973962099762328,-0.5798067241766279,-0.6484407752678187,0.6199358760677378,0.42057761732851984,0.49088152769718063
survivors,slippage_20bps,RENT3.SA,0.0015,0.002,1662,77,0.2987012987012987,-0.04066193609836222,-0.006274433242831279,0.2562205898747012,0.731625826680144,11.68596650953501,0.10262651145759023,0.1533362607031847,-0.6286392279850241,1.0995690868399712,0.45306859205776173,0.9593380639016378
survivors,slippage_20bps,SMTO3.SA,0.0015,0.002,1662,67,0.44776119402985076,0.050932618730792134,0.007560840930682433,0.2525663821103467,0.6361081596581247,13.511722839179498,0.15536052477419163,0.22870990253118778,-0.5415358571955484,1.1329100812726116,0.34957882069795426,1.0509326187307921
survivors,slippage_20bps,VALE3.SA,0.0015,0.002,1662,67,0.4626865671641791,1.4778355343694844,0.14749568595187879,0.18644653787018126,1.1514428894227893,10.95992436844628,0.8304546645564852,1.3653638830291972,-0.24477244671375764,2.235509765325237,0.3983152827918171,2.4778355343694844
survivors,slippage_20bps,VBBR3.SA,0.0015,0.002,1662,91,0.34065934065934067,-0.13985051466684773,-0.022583193791700595,0.22549296869098043,-0.42685575618229255,14.361021480120492,0.012002537903643022,0.016662690899953835,-0.5129789187361284,0.9896736491908528,0.41155234657039713,0.8601494853331523
survivors,slippage_20bps,WEGE3.SA,0.0015,0.002,1662,79,0.3037974683544304,0.3945509483207774,0.05171919056716079,0.2275310785468343,1.2144129153309169,16.27637809578603,0.33416588117207424,0.5236450919638483,-0.4111281318441017,1.3827907570168465,0.44103489771359805,1.3945509483207774
survivors,stress_severe_50bps,BBDC4.SA,0.003,0.005,1662,78,0.32051282051282054,-0.4645603429515768,-0.09036773380087382,0.1824662330052866,-0.869479750000776,15.62138161293915,-0.42707697020297625,-0.5620164805764752,-0.5432018153399067,0.6873013343810864,0.3417569193742479,0.5354396570484232
survivors,stress_severe_50bps,ITUB4.SA,0.003,0.005,1662,76,0.21052631578947367,-0.5297006026242869,-0.10808407217446958,0.16188045436271686,-0.29706849432807547,11.310986074544477,-0.6252986402843786,-0.8338299488562169,-0.5841345180569153,0.5607137078449068,0.3561973525872443,0.47029939737571314
