task_id,ticker,data_fingerprint,momentum_window,atr_window,stop_multiplier,cost_per_side,stop_slippage,bars,total_trades,win_rate,total_return,annualized_return,annualized_volatility,return_skewness,return_kurtosis,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,exposure,final_equity,deflated_sharpe_ratio
1e9a3685fb68b8a6149253139e53702b297091b86420a7226bba2add2b1c168a,PRIO3.SA,8d5188e61fa02f4e4ade81846eea29cc78ad17ae4bd13cde66772cf2b3b94ba7,45,14,3.0,0.0015,0.0,1163,28,0.4642857142857143,2.881666683702404,0.3416185663919957,0.3090745354241218,0.892495919493932,8.56926043816385,1.1040251715768303,1.8316888662789579,-0.23562183418729798,4.4904952866735615,0.41444539982803097,3.881666683702404,0.9171418511969172
ab4dd6ba3cfd95d4d1d94c760f38641c00e2a096b7f8471a12f69ab08b63352e,VALE3.SA,dac5522ae92f306ae7f13023cdcadc9afa05574295f8ffd706c9f04b87e79a3e,20,14,2.0,0.0015,0.0,1163,47,0.5106382978723404,1.3230320053564748,0.2003757256015537,0.18420436374399723,1.4538629291598526,12.467354270298175,1.08282753761237,1.859723176468841,-0.1540691196529712,2.7574094923649266,0.3379191745485813,2.323032005356475,0.7593240515238739
106a2463d480f347ea01dd751dac4867865e4a828a972752dfee15aefc31b00f,VALE3.SA,dac5522ae92f306ae7f13023cdcadc9afa05574295f8ffd706c9f04b87e79a3e,20,14,2.5,0.0015,0.0,1163,47,0.48936170212765956,1.4806384683419753,0.21757131280984643,0.20038330787994335,1.2514261126429969,10.052229102610172,1.0818339396050554,1.8382256436320121,-0.1583718922121664,2.840835808190809,0.4032674118658641,2.4806384683419753,0.7573148383199271
a6c68e9d86a07de2ade8e5e41c432b41d1857f0e89f8f6aafe64d5d41f557031,WEGE3.SA,b67fb8f3e724dc522918a81ef29842c7bc0be6cabee33d7155075bae21bae18a,45,14,2.0,0.0015,0.0,1163,30,0.3333333333333333,1.1394466012592477,0.17915269498921194,0.19012764554748063,1.4451425149658894,43.7216068036346,0.9611603653834182,1.5973176243707372,-0.21734692861900884,2.9685620362510003,0.25623387790197766,2.1394466012592477,0.6929586211212052
b2354a22834b2d0dad0701db23e2485d9bcab9b7ac8100d7dcdc8521ed690260,PRIO3.SA,8d5188e61fa02f4e4ade81846eea29cc78ad17ae4bd13cde66772cf2b3b94ba7,45,14,2.5,0.0015,0.0,1163,28,0.42857142857142855,1.9501355784178296,0.2641710127788679,0.2865353000783948,0.9885616618255425,10.269578891560716,0.9599999760098362,1.5885171740284008,-0.2589271652499653,3.7688825819428153,0.3353396388650043,2.9501355784178296,0.857103924428674
6b07c9a11af24f37ab1c237d0b05fd8d20812c3559f9ebc42989a0261b992e96,VALE3.SA,dac5522ae92f306ae7f13023cdcadc9afa05574295f8ffd706c9f04b87e79a3e,20,14,3.0,0.0015,0.0,1163,47,0.5106382978723404,1.2044145670246116,0.1868207441399885,0.20700183272972716,1.1101108471337195,9.44183861868775,0.9301185022698454,1.5495416441461658,-0.18383578317869698,2.5895844039167817,0.43594153052450557,2.2044145670246116,0.6389853020898586
efdcf5259615d05b0eeb5b077b089a8f66eb87976c6e61e634b0558bff90680d,PRIO3.SA,8d5188e61fa02f4e4ade81846eea29cc78ad17ae4bd13cde66772cf2b3b94ba7,30,14,3.0,0.0015,0.0,1163,42,0.4523809523809524,2.2241009052950558,0.28873163094606524,0.3375644644736533,1.5625973363991739,14.030696217869984,0.9169940724001762,1.5724179977774912,-0.2598066834265996,3.0179062995049737,0.4411006018916595,3.2241009052950558,0.8382544911350989
428e7e23ce5f5df9080d692e9b150797b75b4598335aba797904c92e56685d52,VALE3.SA,dac5522ae92f306ae7f13023cdcadc9afa05574295f8ffd706c9f04b87e79a3e,60,14,2.0,0.0015,0.0,1163,20,0.35,0.6713092654712884,0.1177178184337575,0.1359387743941501,3.0344621630131168,36.135586195589184,0.8856392199951373,1.587767038466973,-0.2495593757538105,2.8382050166870836,0.17196904557179707,1.6713092654712884,0.606294531063324
72c24ed034c43c9dd9366d0f2f64b7371f629602d374715b1eaea4fec66ac465,PRIO3.SA,8d5188e61fa02f4e4ade81846eea29cc78ad17ae4bd13cde66772cf2b3b94ba7,45,14,1.5,0.0015,0.0,1163,28,0.42857142857142855,1.0544765407288148,0.16884360484073446,0.1988353336705439,2.553671928963851,23.726035814769908,0.8822095540873561,1.628186306886221,-0.28230085534782534,2.74884292257758,0.14445399828030955,2.054476540728815,0.8244674918005721
38f9e8fe7558282e52ae916c8a1cddced12adb63d35f0f9206b35f19467f55ce,VALE3.SA,dac5522ae92f306ae7f13023cdcadc9afa05574295f8ffd706c9f04b87e79a3e,45,14,2.0,0.0015,0.0,1163,33,0.36363636363636365,0.7635484915812325,0.13080434574244504,0.15515908071400777,2.636485038923004,26.457651882937263,0.8687057349909971,1.5484939707964052,-0.2128829018670172,2.484115375234585,0.21668099742046432,1.7635484915812325,0.5902564464629201
