ticker,best_trial,best_sharpe_is,momentum_window,stop_multiplier
PRIO3.SA,26,1.1040251715768303,45,3.0
WEGE3.SA,26,1.0529030351565012,35,2.0
ITUB4.SA,36,1.0046640879190123,40,1.5
VALE3.SA,17,1.0024088391404804,50,2.0
BBDC4.SA,9,0.7027683365795215,30,2.0
SMTO3.SA,7,0.6743659716909912,20,1.5
RENT3.SA,19,0.3230397350321263,55,2.5
PETR4.SA,9,0.3035094787389208,30,2.0
VBBR3.SA,4,0.29605319164581306,40,3.0
RADL3.SA,18,-0.1661574407159928,40,2.0
