trial,state,value,momentum_window,stop_multiplier,bars,total_trades,win_rate,total_return,annualized_return,annualized_volatility,return_skewness,return_kurtosis,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,exposure,final_equity
0,COMPLETE,-0.0614817005315776,30,3.5,1163,46,0.2391304347826087,-0.22072867056740497,-0.05260519472100278,0.27330103956258844,0.40526110363085,16.299552756156483,-0.0614817005315776,-0.08920917442441402,-0.5962802318627143,1.1626349438647798,0.4926913155631986,0.779271329432595
1,COMPLETE,0.20147503178208181,50,2.5,1163,30,0.43333333333333335,0.09368656279535825,0.019594178714675614,0.24586804624116398,0.4290176434749819,20.03610916565984,0.20147503178208181,0.29902407132250197,-0.40835714023141034,1.3935890411188812,0.3998280309544282,1.0936865627953583
2,COMPLETE,-0.4711077439149869,15,1.5,1163,63,0.31746031746031744,-0.43141552225980895,-0.11515187309632924,0.21167534675418812,-0.7289181341993001,24.238327655964603,-0.4711077439149869,-0.6414077973852508,-0.5186916395262726,0.6382521532409915,0.2588134135855546,0.568584477740191
3,COMPLETE,-0.26349914170468486,10,3.5,1163,90,0.32222222222222224,-0.43849644155867906,-0.1175513308091507,0.3020174133490688,0.44721786898823485,15.008222219933819,-0.26349914170468486,-0.3823383378014403,-0.6513706278655056,0.8055114733740225,0.5081685296646603,0.5615035584413209
4,COMPLETE,0.03579661204699177,40,3.0,1163,42,0.16666666666666666,-0.11031311170227343,-0.025008872171848218,0.2645239062073595,0.6253289617569908,17.588464354833487,0.03579661204699177,0.053269037408194345,-0.6254996310909815,1.279510741570221,0.45743766122098023,0.8896868882977266
5,COMPLETE,-0.26349914170468486,10,3.5,1163,90,0.32222222222222224,-0.43849644155867906,-0.1175513308091507,0.3020174133490688,0.44721786898823485,15.008222219933819,-0.26349914170468486,-0.3823383378014403,-0.6513706278655056,0.8055114733740225,0.5081685296646603,0.5615035584413209
6,COMPLETE,-0.13994359780930943,55,2.0,1163,23,0.391304347826087,-0.16782913660082588,-0.03902615802359355,0.17447894321467478,-1.265022287820617,38.07393117466129,-0.13994359780930943,-0.19224893093599982,-0.27071576693253063,0.8217180928390762,0.22527944969905417,0.8321708633991741
7,COMPLETE,-0.8052618889072648,20,1.5,1163,51,0.3137254901960784,-0.5315111713491038,-0.15150989353561217,0.18315360781510306,0.2628763696000841,20.815998568728702,-0.8052618889072648,-1.1039608725672072,-0.6257818283268519,0.4363340781388272,0.2055030094582975,0.46848882865089625
8,COMPLETE,-0.5745165311611129,25,2.5,1163,43,0.2558139534883721,-0.5389972835512887,-0.1544662730236589,0.2411786433410539,-0.09290070964915104,20.6779073157839,-0.5745165311611129,-0.7837421009389697,-0.5389972835512887,0.46390675574099227,0.3989681857265692,0.46100271644871127
9,COMPLETE,-0.21846498735855113,30,2.0,1163,48,0.3541666666666667,-0.28854641967774397,-0.07111281543758008,0.22316074615889195,-0.28413776829072346,21.8300839536986,-0.21846498735855113,-0.30569441028071637,-0.4409478374682406,0.7747408817529856,0.33276010318142735,0.711453580322256
10,COMPLETE,0.2743610163383983,60,2.5,1163,23,0.34782608695652173,0.1804341346275724,0.03659731670205035,0.21470213536337376,0.6154422454735701,30.924955915222608,0.2743610163383983,0.41129035881261294,-0.30403174945180655,1.5219261902383845,0.31556319862424764,1.1804341346275724
11,COMPLETE,0.2743610163383983,60,2.5,1163,23,0.34782608695652173,0.1804341346275724,0.03659731670205035,0.21470213536337376,0.6154422454735701,30.924955915222608,0.2743610163383983,0.41129035881261294,-0.30403174945180655,1.5219261902383845,0.31556319862424764,1.1804341346275724
12,COMPLETE,0.2743610163383983,60,2.5,1163,23,0.34782608695652173,0.1804341346275724,0.03659731670205035,0.21470213536337376,0.6154422454735701,30.924955915222608,0.2743610163383983,0.41129035881261294,-0.30403174945180655,1.5219261902383845,0.31556319862424764,1.1804341346275724
13,COMPLETE,0.05330871607874591,45,3.0,1163,39,0.358974358974359,-0.07677606732533537,-0.017160283704736212,0.2474125973973672,0.4822670017394192,20.026946989856203,0.05330871607874591,0.07843428201064574,-0.5368160192018122,1.1681100625123537,0.4170249355116079,0.9232239326746646
14,COMPLETE,0.0334768015209339,60,2.0,1163,23,0.43478260869565216,-0.04260713861256349,-0.009390240348385981,0.1740232567453183,-0.8136445454208204,44.01475227601262,0.0334768015209339,0.04687409621590345,-0.27625592550457845,1.028224306206881,0.22785898538263114,0.9573928613874365
15,COMPLETE,0.19273299887079345,50,3.0,1163,30,0.43333333333333335,0.08174640636395436,0.01717186471665233,0.24963915973550727,0.34492978123597046,19.263700428738,0.19273299887079345,0.28439291784411364,-0.42506226325784846,1.3902844719181247,0.4307824591573517,1.0817464063639544
16,COMPLETE,0.2743610163383983,60,2.5,1163,23,0.34782608695652173,0.1804341346275724,0.03659731670205035,0.21470213536337376,0.6154422454735701,30.924955915222608,0.2743610163383983,0.41129035881261294,-0.30403174945180655,1.5219261902383845,0.31556319862424764,1.1804341346275724
17,COMPLETE,-0.3110293058950632,40,2.0,1163,42,0.23809523809523808,-0.32987103448786825,-0.08307919588843116,0.20858839354063924,-0.2640976768212768,26.380316103193284,-0.3110293058950632,-0.4349417465806592,-0.5497808499163231,0.701720174850756,0.2871883061049011,0.6701289655121317
18,COMPLETE,0.19273299887079345,50,3.0,1163,30,0.43333333333333335,0.08174640636395436,0.01717186471665233,0.24963915973550727,0.34492978123597046,19.263700428738,0.19273299887079345,0.28439291784411364,-0.42506226325784846,1.3902844719181247,0.4307824591573517,1.0817464063639544
19,COMPLETE,0.3230397350321263,55,2.5,1163,23,0.391304347826087,0.24602161672788303,0.048814244869554324,0.2266972092333695,0.6786163155106525,26.05475427765032,0.3230397350321263,0.491039886912605,-0.29870421088531074,1.5969235320087702,0.352536543422184,1.246021616727883
20,COMPLETE,-0.3110293058950632,40,2.0,1163,42,0.23809523809523808,-0.32987103448786825,-0.08307919588843116,0.20858839354063924,-0.2640976768212768,26.380316103193284,-0.3110293058950632,-0.4349417465806592,-0.5497808499163231,0.701720174850756,0.2871883061049011,0.6701289655121317
21,COMPLETE,0.3230397350321263,55,2.5,1163,23,0.391304347826087,0.24602161672788303,0.048814244869554324,0.2266972092333695,0.6786163155106525,26.05475427765032,0.3230397350321263,0.491039886912605,-0.29870421088531074,1.5969235320087702,0.352536543422184,1.246021616727883
22,COMPLETE,0.3230397350321263,55,2.5,1163,23,0.391304347826087,0.24602161672788303,0.048814244869554324,0.2266972092333695,0.6786163155106525,26.05475427765032,0.3230397350321263,0.491039886912605,-0.29870421088531074,1.5969235320087702,0.352536543422184,1.246021616727883
23,COMPLETE,0.27604248290959876,55,3.0,1163,23,0.34782608695652173,0.18881958092821316,0.038188464159025326,0.23718692026727203,0.62015513159719,22.70537849434409,0.27604248290959876,0.4181963214456117,-0.3624244206465246,1.5339282972346215,0.39466895958727427,1.1888195809282132
24,COMPLETE,0.1774877585291692,45,2.5,1163,39,0.358974358974359,0.0660968284731751,0.013965097700058271,0.24116766284063504,0.6323046766887334,21.527353716419196,0.1774877585291692,0.26616308980641673,-0.46899861099278584,1.3242754722861945,0.39208942390369733,1.066096828473175
25,COMPLETE,0.3230397350321263,55,2.5,1163,23,0.391304347826087,0.24602161672788303,0.048814244869554324,0.2266972092333695,0.6786163155106525,26.05475427765032,0.3230397350321263,0.491039886912605,-0.29870421088531074,1.5969235320087702,0.352536543422184,1.246021616727883
