trial,state,value,momentum_window,stop_multiplier,bars,total_trades,win_rate,total_return,annualized_return,annualized_volatility,return_skewness,return_kurtosis,sharpe_ratio,sortino_ratio,max_drawdown,profit_factor,exposure,final_equity
18,COMPLETE,-0.3172204521953638,50,2.0,1163,41,0.34146341463414637,-0.34608515223137204,-0.08793256583011311,0.21437520959668285,-4.4083290407271445,61.03517947588271,-0.3172204521953638,-0.38361798400845154,-0.5803315462503469,0.6876224541053411,0.19690455717970765,0.653914847768628
19,COMPLETE,0.29437799429171363,45,1.5,1163,39,0.4358974358974359,0.1938194485197251,0.0391330151261613,0.2040994963356118,-4.213279287079959,69.87416896137142,0.29437799429171363,0.3768150937237505,-0.3562444833447863,1.3504694008462028,0.2003439380911436,1.193819448519725
20,COMPLETE,-0.11760127161321884,60,1.5,1163,33,0.30303030303030304,-0.1676186392254062,-0.03897349284632923,0.18503121438835568,-5.690669703507846,96.98953741351006,-0.11760127161321884,-0.14338877034167882,-0.36994381507943197,0.8330404337343044,0.17282889079965605,0.8323813607745938
21,COMPLETE,0.29437799429171363,45,1.5,1163,39,0.4358974358974359,0.1938194485197251,0.0391330151261613,0.2040994963356118,-4.213279287079959,69.87416896137142,0.29437799429171363,0.3768150937237505,-0.3562444833447863,1.3504694008462028,0.2003439380911436,1.193819448519725
22,COMPLETE,-0.38101124008556986,35,1.5,1163,47,0.3404255319148936,-0.36833915384874194,-0.09474972595464393,0.20402787759085705,-4.7551319998595565,70.55166855461897,-0.38101124008556986,-0.458986775045837,-0.4901067891907166,0.629787621396118,0.1934651762682717,0.6316608461512581
23,COMPLETE,0.29437799429171363,45,1.5,1163,39,0.4358974358974359,0.1938194485197251,0.0391330151261613,0.2040994963356118,-4.213279287079959,69.87416896137142,0.29437799429171363,0.3768150937237505,-0.3562444833447863,1.3504694008462028,0.2003439380911436,1.193819448519725
24,COMPLETE,-0.07847375237258464,50,1.5,1163,41,0.34146341463414637,-0.1464075064341377,-0.033719292367108245,0.1916485958744725,-5.270328163427347,85.88592747771355,-0.07847375237258464,-0.09602048816382167,-0.4523044234507847,0.9237487876680186,0.16852966466036112,0.8535924935658623
25,COMPLETE,0.0033857038598825782,40,2.0,1163,47,0.425531914893617,-0.12166431675841904,-0.027717863272690102,0.23610548989786473,-3.2825476225132393,44.15997934692664,0.0033857038598825782,0.0042767549053535445,-0.48048538868528645,0.9522265301708261,0.29062768701633707,0.878335683241581
26,COMPLETE,0.20379313412094854,55,1.5,1163,37,0.43243243243243246,0.09484500165025778,0.019828088463437643,0.18017493591999842,-6.029316825491597,107.74888015339606,0.20379313412094854,0.25256096538833844,-0.39226873851299393,1.2245626392933144,0.16680997420464316,1.0948450016502578
27,COMPLETE,0.3035094787389208,30,2.0,1163,49,0.3469387755102041,0.21814695645859317,0.043685123384396896,0.2340699940473752,-2.8735759555214933,43.598967087750985,0.3035094787389208,0.39733082216642657,-0.38122675389191907,1.3256051224107812,0.3000859845227859,1.2181469564585932
28,COMPLETE,0.3035094787389208,30,2.0,1163,49,0.3469387755102041,0.21814695645859317,0.043685123384396896,0.2340699940473752,-2.8735759555214933,43.598967087750985,0.3035094787389208,0.39733082216642657,-0.38122675389191907,1.3256051224107812,0.3000859845227859,1.2181469564585932
29,COMPLETE,0.11680340121545295,30,2.5,1163,48,0.2916666666666667,-0.018783275387413978,-0.004100258992541073,0.2555089494374964,-3.2760516363446657,41.572965098030465,0.11680340121545295,0.14749896545186247,-0.5040959868108918,1.1178766622091052,0.33963886500429924,0.981216724612586
30,COMPLETE,0.3035094787389208,30,2.0,1163,49,0.3469387755102041,0.21814695645859317,0.043685123384396896,0.2340699940473752,-2.8735759555214933,43.598967087750985,0.3035094787389208,0.39733082216642657,-0.38122675389191907,1.3256051224107812,0.3000859845227859,1.2181469564585932
31,COMPLETE,0.3035094787389208,30,2.0,1163,49,0.3469387755102041,0.21814695645859317,0.043685123384396896,0.2340699940473752,-2.8735759555214933,43.598967087750985,0.3035094787389208,0.39733082216642657,-0.38122675389191907,1.3256051224107812,0.3000859845227859,1.2181469564585932
32,COMPLETE,-0.17551041013275911,20,2.0,1163,61,0.3442622950819672,-0.3019042479173245,-0.07491988542980454,0.2540774779895965,-2.5031028465753384,33.233592553094,-0.17551041013275911,-0.2246202743297988,-0.4931165937006323,0.8068673463189294,0.351676698194325,0.6980957520826755
33,COMPLETE,0.11680340121545295,30,2.5,1163,48,0.2916666666666667,-0.018783275387413978,-0.004100258992541073,0.2555089494374964,-3.2760516363446657,41.572965098030465,0.11680340121545295,0.14749896545186247,-0.5040959868108918,1.1178766622091052,0.33963886500429924,0.981216724612586
34,COMPLETE,-0.17551041013275911,20,2.0,1163,61,0.3442622950819672,-0.3019042479173245,-0.07491988542980454,0.2540774779895965,-2.5031028465753384,33.233592553094,-0.17551041013275911,-0.2246202743297988,-0.4931165937006323,0.8068673463189294,0.351676698194325,0.6980957520826755
35,COMPLETE,0.03364717826526608,25,2.5,1163,60,0.4,-0.11859672888140593,-0.026983084865415008,0.2651288487819545,-2.5236419346521206,31.846079903921787,0.03364717826526608,0.04281706144755395,-0.521568189920856,1.0491514411070988,0.3645743766122098,0.8814032711185941
36,COMPLETE,-0.06544000654073928,35,2.0,1163,47,0.40425531914893614,-0.18678590316493082,-0.043812399054898754,0.23755018030264932,-3.2229672846868738,43.44291030762187,-0.06544000654073928,-0.08224367950519797,-0.5304933763346321,0.8989496723324197,0.2794496990541703,0.8132140968350692
37,COMPLETE,0.10671982716099962,30,3.0,1163,48,0.2916666666666667,-0.04673198120272981,-0.010316589540029342,0.2781741837648572,-2.661634081581802,30.745866190616972,0.10671982716099962,0.13573482769936518,-0.503968702136459,1.0854124813101735,0.43938091143594155,0.9532680187972702
38,COMPLETE,0.12181967734701978,15,2.0,1163,62,0.3548387096774194,-0.025090857324544746,-0.005490950000168859,0.27622381570981275,-1.9996034292039757,25.19449143524185,0.12181967734701978,0.1594000815407226,-0.3964177672982665,1.0594088946069598,0.43250214961306965,0.9749091426754553
39,COMPLETE,0.11680340121545295,30,2.5,1163,48,0.2916666666666667,-0.018783275387413978,-0.004100258992541073,0.2555089494374964,-3.2760516363446657,41.572965098030465,0.11680340121545295,0.14749896545186247,-0.5040959868108918,1.1178766622091052,0.33963886500429924,0.981216724612586
