entry_signal_time,entry_time,exit_time,entry_price,exit_price,quantity,entry_cost,exit_cost,net_return,holding_bars,exit_reason
2020-03-02,2020-03-03,2020-03-04,164.4274519386793,159.40378432160293,607.2600620256713,149.77533699450822,145.199327931395,-0.03345647373668059,2,momentum_exit
2020-04-06,2020-04-07,2020-06-11,160.4444503945996,177.0786641208226,601.5140318447212,144.764382365949,159.77295181348975,0.10036977505144251,46,intraday_stop
2020-08-03,2020-08-04,2020-08-10,203.1847055797649,200.8129376573723,522.6586007214523,159.2943508594803,157.43491350414968,-0.014633505125882684,5,momentum_exit
2020-08-10,2020-08-11,2020-08-12,196.5342796413907,194.76022066106074,532.4374504236089,156.96331615965397,155.546452999072,-0.011995182409319294,2,momentum_exit
2020-08-12,2020-08-13,2020-08-18,198.6973032856729,199.73135494628042,520.3241647347489,155.08051255074724,155.88757565064455,0.002193059661570018,4,momentum_exit
2020-08-18,2020-08-19,2020-08-20,201.12719606634397,199.2727129413533,515.1652500071007,155.42061336711785,153.98756547303822,-0.012188336175452563,2,momentum_exit
2020-08-20,2020-08-21,2020-09-03,203.3810516231777,209.9263510346354,503.2467985833028,153.52629468280443,158.46714614468232,0.029090535056406575,10,intraday_stop
2020-09-09,2020-09-10,2020-09-11,202.943541206919,197.04738599235657,519.002989044023,157.99245674035475,153.4022734700166,-0.031961657655154574,2,momentum_exit
2020-10-06,2020-10-07,2020-10-08,196.9142614192931,200.19520275398455,517.798134828027,152.9427559259227,155.49105388129783,0.013616358897637015,2,momentum_exit
2020-10-08,2020-10-09,2020-10-26,200.8799331744118,199.7366514869275,514.4873587972398,155.02527938140375,154.1429734177712,-0.00866982652619841,12,intraday_stop
2020-11-03,2020-11-04,2020-11-10,203.53321142617264,203.9896209715541,503.3780843435345,153.68123710199157,154.0258569459369,-0.0007597911811191294,5,momentum_exit
2020-11-16,2020-11-17,2020-11-18,205.51127030664728,203.71329634478465,498.15425766902064,153.56447145333797,152.2209688769181,-0.011718084903447723,2,momentum_exit
2020-11-23,2020-11-24,2020-12-04,199.84211894469007,204.2568164248823,506.2829622374664,151.76498993869467,155.1176191151757,0.019029245836687192,8,momentum_exit
2020-12-09,2020-12-10,2020-12-11,201.92072995416368,200.2807335257904,510.6061944102088,154.65296324164046,153.39687473893343,-0.011093158765959399,2,momentum_exit
2020-12-16,2020-12-17,2021-01-04,209.64400322361016,205.2296556937723,486.3399255090196,152.93737336677484,149.71706319352643,-0.02398882996586249,11,intraday_stop
2021-01-07,2021-01-08,2021-01-15,208.50934079732144,203.58934296382472,477.2562679154282,149.26858472165364,145.7464350154037,-0.026520879406980113,6,momentum_exit
2021-01-20,2021-01-21,2021-02-22,214.24935885539745,222.75635083928404,452.1518021906849,145.30985058700008,151.07952822210416,0.036591585970091156,22,intraday_stop
2021-03-01,2021-03-02,2021-03-03,226.50729480119938,221.87222352894128,443.33220734828126,150.62696847705539,147.5446539095352,-0.02339744076624506,2,momentum_exit
2021-03-22,2021-03-23,2021-03-30,226.96606993241753,223.18152021260835,432.08421108381646,147.1026829043144,144.64981663432758,-0.019620075675412574,6,momentum_exit
2021-03-31,2021-04-01,2021-04-29,227.90263305297643,241.52117753115112,421.86587959883184,144.21651713367555,152.83431600138704,0.05658147073735842,20,intraday_stop
2021-06-02,2021-06-03,2021-06-04,234.89462537591137,237.32767135182317,432.4676778899307,152.37649977771838,153.9548203928214,0.007331497406800835,2,momentum_exit
2021-06-04,2021-06-07,2021-09-20,239.45420630763013,283.423253697122,427.34308174566144,153.4936476906961,181.67845000996581,0.18007639868895664,74,intraday_stop
2021-09-24,2021-09-27,2021-09-28,284.213569869191,278.1290162051692,424.87821411162736,181.13423098846815,177.25643954681425,-0.02433976326256093,2,momentum_exit
2021-10-15,2021-10-18,2021-11-26,291.3444250695116,318.9939700234561,404.39070616687457,176.7254666874628,193.49729520114033,0.09162350149787812,29,intraday_stop
2021-12-09,2021-12-10,2021-12-15,322.0776255201496,315.9529188096588,399.31920643386553,192.91767274921477,189.24910321430477,-0.021954787442478585,4,momentum_exit
2021-12-27,2021-12-28,2022-01-05,329.9329216504245,310.3341232116136,381.2536708093321,188.68220625010815,177.47403547773487,-0.06221993941622994,7,intraday_stop
2022-03-18,2022-03-21,2022-04-06,287.9719290179041,287.6600791378819,409.62883989363826,176.9424108083058,176.7507967514441,-0.00407518048679012,13,intraday_stop
2022-06-07,2022-06-08,2022-06-13,262.39442533216015,236.70645685368288,447.72632732934755,176.22133854849417,158.96956887336316,-0.10060055289643655,4,gap_stop
2022-06-21,2022-06-22,2022-06-23,243.253984977507,246.80786429478658,434.3700665322324,158.49337445836557,160.80892265160696,0.011570477238376675,2,momentum_exit
2022-06-24,2022-06-27,2022-06-28,259.01451757812606,254.92949381458487,412.65954237902355,160.32721843996958,157.79863238466405,-0.018719671877068134,2,momentum_exit
