timestamp,equity,daily_return,position,stop_price,drawdown
2020-01-02,100000.0,0.0,0,,0.0
2020-01-03,100000.0,0.0,0,,0.0
2020-01-06,100000.0,0.0,0,,0.0
2020-01-07,100000.0,0.0,0,,0.0
2020-01-08,100000.0,0.0,0,,0.0
2020-01-09,100000.0,0.0,0,,0.0
2020-01-10,100000.0,0.0,0,,0.0
2020-01-13,100000.0,0.0,0,,0.0
2020-01-14,100000.0,0.0,0,,0.0
2020-01-15,100000.0,0.0,0,,0.0
2020-01-16,100000.0,0.0,0,,0.0
2020-01-17,100000.0,0.0,0,,0.0
2020-01-21,100000.0,0.0,0,,0.0
2020-01-22,100000.0,0.0,0,,0.0
2020-01-23,100000.0,0.0,0,,0.0
2020-01-24,100000.0,0.0,0,,0.0
2020-01-27,100000.0,0.0,0,,0.0
2020-01-28,100000.0,0.0,0,,0.0
2020-01-29,100000.0,0.0,0,,0.0
2020-01-30,100000.0,0.0,0,,0.0
2020-01-31,100000.0,0.0,0,,0.0
2020-02-03,100000.0,0.0,0,,0.0
2020-02-04,100296.64968927795,0.002966496892779613,1,5.738651531083243,0.0
2020-02-05,101769.87317638758,0.01468866100386923,1,5.824446388653347,0.0
2020-02-06,103186.27076975742,0.013917651159051081,1,5.90379444190434,0.0
2020-02-07,102106.72586566422,-0.010462098262103314,1,5.90379444190434,-0.010462098262103314
2020-02-10,106725.25212106486,0.04523234112390351,1,6.078312839780535,0.0
2020-02-11,108722.00766721385,0.018709307370705197,1,6.183991057532174,0.0
2020-02-12,110609.190876367,0.0173578767504885,1,6.300866007804871,0.0
2020-02-13,109894.89999708119,-0.006457789570888495,1,6.300866007804871,-0.006457789570888495
2020-02-14,117610.03106442944,0.07020463249480335,1,6.73608934879303,0.0
2020-02-18,120361.6629905968,0.02339623500872956,1,6.890499881335667,0.0
2020-02-19,127719.64474785577,0.06113227064529525,1,7.281517710004534,0.0
2020-02-20,125284.57663104514,-0.019065728859627984,1,7.281517710004534,-0.019065728859627984
2020-02-21,118029.60103278076,-0.05790797074431442,0,,-0.07586964193492007
2020-02-24,118029.60103278076,0.0,0,,-0.07586964193492007
2020-02-25,118029.60103278076,0.0,0,,-0.07586964193492007
2020-02-26,118029.60103278076,0.0,0,,-0.07586964193492007
2020-02-27,118029.60103278076,0.0,0,,-0.07586964193492007
2020-02-28,118029.60103278076,0.0,0,,-0.07586964193492007
2020-03-02,118029.60103278076,0.0,0,,-0.07586964193492007
2020-03-03,118029.60103278076,0.0,0,,-0.07586964193492007
2020-03-04,118029.60103278076,0.0,0,,-0.07586964193492007
