timestamp,equity,daily_return,position,stop_price,drawdown
2021-08-18,100000.0,0.0,0,,0.0
2021-08-19,100000.0,0.0,0,,0.0
2021-08-20,100000.0,0.0,0,,0.0
2021-08-23,100000.0,0.0,0,,0.0
2021-08-24,100000.0,0.0,0,,0.0
2021-08-25,100000.0,0.0,0,,0.0
2021-08-26,100000.0,0.0,0,,0.0
2021-08-27,100000.0,0.0,0,,0.0
2021-08-30,100000.0,0.0,0,,0.0
2021-08-31,100000.0,0.0,0,,0.0
2021-09-01,100000.0,0.0,0,,0.0
2021-09-02,100000.0,0.0,0,,0.0
2021-09-03,100000.0,0.0,0,,0.0
2021-09-06,100000.0,0.0,0,,0.0
2021-09-08,100000.0,0.0,0,,0.0
2021-09-09,100000.0,0.0,0,,0.0
2021-09-10,100000.0,0.0,0,,0.0
2021-09-13,100000.0,0.0,0,,0.0
2021-09-14,100000.0,0.0,0,,0.0
2021-09-15,100000.0,0.0,0,,0.0
2021-09-16,100000.0,0.0,0,,0.0
2021-09-17,100000.0,0.0,0,,0.0
2021-09-20,100000.0,0.0,0,,0.0
2021-09-21,100000.0,0.0,0,,0.0
2021-09-22,100000.0,0.0,0,,0.0
2021-09-23,100000.0,0.0,0,,0.0
2021-09-24,100000.0,0.0,0,,0.0
2021-09-27,100000.0,0.0,0,,0.0
2021-09-28,100000.0,0.0,0,,0.0
2021-09-29,100000.0,0.0,0,,0.0
2021-09-30,100000.0,0.0,0,,0.0
2021-10-01,100000.0,0.0,0,,0.0
2021-10-04,100000.0,0.0,0,,0.0
2021-10-05,100000.0,0.0,0,,0.0
2021-10-06,100000.0,0.0,0,,0.0
2021-10-07,100000.0,0.0,0,,0.0
2021-10-08,100000.0,0.0,0,,0.0
2021-10-11,100000.0,0.0,0,,0.0
2021-10-13,100000.0,0.0,0,,0.0
2021-10-14,100000.0,0.0,0,,0.0
2021-10-15,100000.0,0.0,0,,0.0
2021-10-18,100000.0,0.0,0,,0.0
2021-10-19,100000.0,0.0,0,,0.0
