mes,BAA10Y,NFCI,z_baa10y_fechado,z_nfci_fechado,mudanca_regime
1986-01,2.29,-0.256,,-0.6602887611471099,0
1986-02,2.49,-0.295,,-0.6051757946074875,0
1986-03,2.92,-0.331,,-0.6743922057267021,0
1986-04,2.78,-0.417,,-0.7351733854159279,0
1986-05,2.36,-0.472,,-0.9162716621671995,0
1986-06,2.81,-0.44,,-1.0186053580316992,0
1986-07,2.91,-0.489,,-0.912348282789658,0
1986-08,3.07,-0.585,,-0.9888179767503397,0
1986-09,2.75,-0.549,,-1.1598772488190692,0
1986-10,2.82,-0.539,,-1.029648658668732,0
1986-11,2.85,-0.548,,-0.9595473909013289,0
1986-12,2.76,-0.506,,-0.9304001662364777,0
1987-01,2.5,-0.482,,-0.7958769097371705,0
1987-02,2.43,-0.432,,-0.7134187330873004,0
1987-03,2.19,-0.173,,-0.5855460284826505,0
1987-04,2.16,0.306,,-0.008002324169978026,0
1987-05,2.08,0.62,,1.0557334557161635,1
1987-06,2.12,0.424,,1.832398612166714,0
1987-07,2.11,0.046,,1.6456836277910023,0
1987-08,1.92,0.034,,0.8532560808389277,0
1987-09,1.91,0.488,,0.9423570167612613,0
1987-10,2.45,1.103,,2.3891397445741696,0
1987-11,2.24,1.112,,3.5154005074441455,0
1987-12,2.39,0.836,,2.970275108925136,0
1988-01,2.51,0.363,,2.1110016112487036,0
1988-02,2.37,0.134,,1.0363330062325782,0
1988-03,2.19,0.133,,0.5209092131605237,0
1988-04,2.07,0.248,,0.4942051945013551,1
1988-05,1.93,0.256,,0.70113062679474,0
1988-06,2.16,0.303,,0.6777535523731366,0
1988-07,2.07,0.432,,0.7346246153827329,0
1988-08,1.97,0.399,,0.9557057104257266,0
1988-09,1.62,0.254,,0.846476776645948,0
1988-10,1.58,0.186,,0.5204645735418397,0
1988-11,1.55,0.157,,0.3541556679014523,0
1988-12,1.55,0.143,,0.2674232757218581,0
1989-01,1.56,0.188,-1.8258155570899697,0.21546808324414785,0
1989-02,1.35,0.408,-1.6782581634061569,0.28553061406303815,0
1989-03,1.31,0.716,-1.975904395096538,0.7098481670054649,0
1989-04,1.55,0.62,-1.9181335079171213,1.2819990696417753,1
1989-05,1.7,0.366,-1.3259054391643104,1.0235027687377931,0
1989-06,1.83,0.26,-0.9559286635974074,0.45321456139559935,1
1989-07,1.99,0.21,-0.6387377917322071,0.1898960193354136,0
1989-08,1.7,0.24,-0.2485871636283414,0.03941677681860988,0
1989-09,1.62,0.383,-0.8708226686867898,0.05808188879690991,0
