ticker,tese,bars,bh_total_return_pct,bh_cagr_pct,bh_max_dd_pct,bh_sharpe,mom_total_return_pct,mom_cagr_pct,mom_vol_pct,mom_sharpe,mom_max_dd_pct,mom_win_rate_pct,mom_profit_factor,trades
VRT,Infraestrutura Crítica & Refrigeração de Data Centers de IA,1687,2122.73,58.93,-71.25,0.918,246.76,20.41,34.33,0.711,-45.74,37.5,2.22,64
PLTR,Enterprise AI & Inteligência Governamental,1499,1769.89,63.61,-84.62,0.864,23.49,3.61,40.07,0.284,-53.49,41.79,1.31,67
CELH,Bebidas Energéticas Funcionais / Hipercrescimento Varejo,1687,1669.68,53.61,-77.86,0.69,372.54,26.11,48.16,0.716,-77.09,29.89,2.44,87
SMCI,Servidores de Computação Acelerada para IA,1687,1554.25,52.07,-84.84,0.605,-3.19,-0.48,48.09,0.229,-80.21,35.71,1.26,84
MSTR,Proxy Alavancada de Bitcoin / Ativo de Reserva,1687,966.59,42.42,-89.27,0.44,242.03,20.16,50.86,0.613,-54.73,31.94,1.91,72
FUTU,Fintech & Corretora de Ações Digitais (China/HK/Global),1687,948.78,42.06,-87.23,0.507,949.49,42.07,49.44,0.952,-72.59,30.77,2.78,78
ASTS,Telecom Espacial Direto ao Celular (Direct-to-Cell),1687,492.91,30.46,-91.07,0.27,-58.59,-12.34,51.06,-0.007,-86.76,31.43,0.95,70
APP,AdTech & Algoritmos de Monetização de Apps (Axon 2.0),1364,372.48,33.23,-91.9,0.392,44.47,7.03,44.69,0.369,-62.28,34.0,1.44,50
HIMS,Telemedicina Direta ao Consumidor & GLP-1,1687,182.73,16.79,-87.29,0.174,448.92,28.96,51.22,0.744,-50.62,36.11,2.2,72
