timestamp,equity,daily_return,position,stop_price,drawdown
2020-01-02,100000.0,0.0,0,,0.0
2020-01-03,100000.0,0.0,0,,0.0
2020-01-06,100000.0,0.0,0,,0.0
2020-01-07,100000.0,0.0,0,,0.0
2020-01-08,100000.0,0.0,0,,0.0
2020-01-09,100000.0,0.0,0,,0.0
2020-01-10,100000.0,0.0,0,,0.0
2020-01-13,100000.0,0.0,0,,0.0
2020-01-14,100000.0,0.0,0,,0.0
2020-01-15,100000.0,0.0,0,,0.0
2020-01-16,100000.0,0.0,0,,0.0
2020-01-17,100000.0,0.0,0,,0.0
2020-01-20,100000.0,0.0,0,,0.0
2020-01-21,100000.0,0.0,0,,0.0
2020-01-22,100000.0,0.0,0,,0.0
2020-01-23,100000.0,0.0,0,,0.0
2020-01-24,100000.0,0.0,0,,0.0
2020-01-27,100000.0,0.0,0,,0.0
2020-01-28,100000.0,0.0,0,,0.0
2020-01-29,100000.0,0.0,0,,0.0
2020-01-30,100000.0,0.0,0,,0.0
2020-01-31,100000.0,0.0,0,,0.0
2020-02-03,100000.0,0.0,0,,0.0
2020-02-04,100000.0,0.0,0,,0.0
2020-02-05,99927.90067514784,-0.0007209932485215953,1,24.102855886731827,-0.0007209932485215953
2020-02-06,101520.2218861051,0.01593470092135396,1,24.489998749324254,0.0
2020-02-07,100549.29395710227,-0.009563886986891146,1,24.489998749324254,-0.009563886986891146
2020-02-10,100704.64598138699,0.0015450334673756672,1,24.489998749324254,-0.008033630044988471
2020-02-11,104743.70231409075,0.04010794430924558,1,25.180713517325266,0.0
2020-02-12,108743.92804831557,0.03819060856021217,1,25.957143102373397,0.0
2020-02-13,107617.64809502802,-0.01035717555454807,1,25.957143102373397,-0.01035717555454807
2020-02-14,111850.89445808769,0.03933598659693471,1,26.61964225769043,0.0
2020-02-17,114724.8476466172,0.02569450340521362,1,27.28642967769078,0.0
2020-02-18,111112.99456551195,-0.03148274462939982,1,27.28642967769078,-0.03148274462939982
2020-02-19,115540.42355133529,0.03984618543615026,1,27.348214149475098,0.0
2020-02-20,114957.86827545204,-0.005042003984210952,1,27.348214149475098,-0.005042003984210952
2020-02-21,115268.56491642926,0.0027027000903734333,1,27.348214149475098,-0.002352930918461116
2020-02-26,108743.92804831557,-0.056603783285096854,1,27.348214149475098,-0.05882352941176461
2020-02-27,106053.26083474519,-0.0247431489910398,0,,-0.08211119905039033
2020-02-28,106053.26083474519,0.0,0,,-0.08211119905039033
2020-03-02,106053.26083474519,0.0,0,,-0.08211119905039033
2020-03-03,106053.26083474519,0.0,0,,-0.08211119905039033
