ticker,bars,total_trades,win_rate,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,profit_factor,exposure
VALE3.SA,1662,67,0.4626865671641791,1.5997972852844722,0.15588602310883726,0.18546009513152323,0.8731586202963285,-0.227956320338063,2.3219725854377455,0.3983152827918171
WEGE3.SA,1662,79,0.3037974683544304,0.46026587314104894,0.05908768483792226,0.2266985259940925,0.36533222330929094,-0.4063935074738029,1.4206531055589864,0.44103489771359805
PRIO3.SA,1662,79,0.3291139240506329,0.40404349074873935,0.05280153861084513,0.3093788438891683,0.32027790025198394,-0.5372358403764144,1.4091176835417139,0.4657039711191336
SMTO3.SA,1662,67,0.44776119402985076,0.10708457135720773,0.015544348398578434,0.2514865879192808,0.186288806934334,-0.5228064677411697,1.1689393197845783,0.34957882069795426
RENT3.SA,1662,77,0.2987012987012987,0.0005304476063363595,8.041078760046005e-05,0.25527934162866855,0.1269916141824967,-0.6180834769042145,1.1251806205981627,0.45306859205776173
VBBR3.SA,1662,91,0.3516483516483517,-0.10291712384616036,-0.016332643776724276,0.22432338444125152,0.03923642856627234,-0.49611833161065344,1.015849988779856,0.41155234657039713
BBDC4.SA,1662,78,0.3717948717948718,-0.2292103458646616,-0.03870495591338163,0.17742988717649058,-0.1333211079311803,-0.4466160151070452,0.8947932373857,0.3417569193742479
PETR4.SA,1662,83,0.3614457831325301,-0.3898117718937397,-0.07216436289041472,0.24287154293288843,-0.18364696918034695,-0.6523668036382688,0.8551680200665375,0.39771359807460893
ITUB4.SA,1662,76,0.27631578947368424,-0.34039140269883017,-0.06114317452202689,0.15837271477387818,-0.31907811276032017,-0.47081283190689505,0.7422412287936765,0.3561973525872443
RADL3.SA,1662,85,0.35294117647058826,-0.48495675140595396,-0.09570853709809246,0.21337011560259125,-0.3661143935473965,-0.6348105575989587,0.6435581850308947,0.42057761732851984
