ticker,bars,trades,win_rate_pct,mom_ret_pct,mom_cagr_pct,mom_vol_pct,mom_sharpe,mom_max_dd_pct,mom_pf,exposure_pct,bh_ret_pct,bh_cagr_pct,bh_vol_pct,bh_sharpe,bh_max_dd_pct
MU,1691,91,36.26,-3.65,-0.55,30.43,0.133,-75.22,1.16,32.4,1835.2,55.51,55.39,0.948,-57.82
MUTC34.SA,1677,85,34.12,22.27,3.07,30.86,0.251,-56.58,1.28,33.0,2406.08,62.26,54.08,1.096,-56.18
SMH,1691,80,42.5,-1.16,-0.17,20.22,0.092,-46.46,1.1,37.0,729.24,37.06,37.45,0.91,-45.3
SOXX,1691,74,39.19,-10.55,-1.65,19.69,0.014,-45.56,1.0,32.5,560.56,32.49,39.05,0.755,-46.24
NVDA,1691,83,38.55,386.05,26.57,33.18,0.874,-46.74,2.05,47.6,3638.07,71.54,51.8,1.323,-66.36
SPY,1691,71,40.85,26.88,3.61,9.83,0.41,-16.12,1.45,45.0,136.46,13.68,20.13,0.531,-34.1
QQQ,1691,63,38.1,34.29,4.49,12.81,0.407,-21.64,1.43,40.0,243.0,20.16,24.85,0.691,-35.62
