timestamp,equity,daily_return,position,stop_price,drawdown
2020-01-02,100000.0,0.0,0,,0.0
2020-01-03,100000.0,0.0,0,,0.0
2020-01-06,100000.0,0.0,0,,0.0
2020-01-07,100000.0,0.0,0,,0.0
2020-01-08,100000.0,0.0,0,,0.0
2020-01-09,100000.0,0.0,0,,0.0
2020-01-10,100000.0,0.0,0,,0.0
2020-01-13,100000.0,0.0,0,,0.0
2020-01-14,100000.0,0.0,0,,0.0
2020-01-15,100000.0,0.0,0,,0.0
2020-01-16,100000.0,0.0,0,,0.0
2020-01-17,100000.0,0.0,0,,0.0
2020-01-21,100000.0,0.0,0,,0.0
2020-01-22,100000.0,0.0,0,,0.0
2020-01-23,100000.0,0.0,0,,0.0
2020-01-24,100000.0,0.0,0,,0.0
2020-01-27,100000.0,0.0,0,,0.0
2020-01-28,100000.0,0.0,0,,0.0
2020-01-29,100000.0,0.0,0,,0.0
2020-01-30,100000.0,0.0,0,,0.0
2020-01-31,100000.0,0.0,0,,0.0
2020-02-03,100000.0,0.0,0,,0.0
2020-02-04,100000.0,0.0,0,,0.0
2020-02-05,100054.69819281848,0.0005469819281849198,1,69.41607202802386,0.0
2020-02-06,100122.84910278567,0.0006811365302992201,1,69.50714084080288,0.0
2020-02-07,97832.76844878266,-0.022872707623931232,1,69.50714084080288,-0.022872707623931232
2020-02-10,97032.69793487796,-0.008177940035741238,0,,-0.030863596028268936
2020-02-11,98046.439189758,0.010447419029412153,1,70.00786236354283,-0.020738621919318634
2020-02-12,99429.40948733824,0.014105257763656676,1,71.0087503705706,-0.006925887763496785
2020-02-13,99666.49154532778,0.0023844258877925295,1,71.33160836356026,-0.0045579761417835485
2020-02-14,99238.43146368329,-0.004294924753620033,1,71.33160836356026,-0.00883332473084586
2020-02-18,97750.0790806482,-0.014997741913925333,1,71.33160836356026,-0.023698586720216075
2020-02-19,100265.78369869447,0.025736087803782892,1,71.98482322692871,0.0
2020-02-20,98685.2433446512,-0.01576350670925697,1,71.98482322692871,-0.01576350670925697
2020-02-21,95787.57263046452,-0.029362755929645656,1,71.98482322692871,-0.04466340263880331
2020-02-24,91251.31302069689,-0.047357496230412965,0,,-0.0899057519471117
2020-02-25,91251.31302069689,0.0,0,,-0.0899057519471117
2020-02-26,91251.31302069689,0.0,0,,-0.0899057519471117
2020-02-27,91251.31302069689,0.0,0,,-0.0899057519471117
2020-02-28,91251.31302069689,0.0,0,,-0.0899057519471117
2020-03-02,91251.31302069689,0.0,0,,-0.0899057519471117
2020-03-03,91251.31302069689,0.0,0,,-0.0899057519471117
