mes,factor_proxy_VFMF,smallcap_VB_sempre_ligada,smallcap_VB_com_regime_bruto,smallcap_VB_com_regime_liquido,renda_fixa_BIL,fundo_proxy_bruto,fundo_proxy_liquido,benchmark_2_3_SPY_1_3_BIL,SPY
2018-03,0.001307569860064639,0.010934914852509303,0.010934914852509303,0.010934914852509303,0.0013017515385345124,0.004514745417036152,0.004514745417036152,-0.017839824499686165,-0.027410612518796507
2018-04,0.0022196202303319534,0.003743256001368156,0.003743256001368156,0.003743256001368156,0.001039593826589691,0.0023341566860965997,0.0023341566860965997,0.003791789449290483,0.00516788726064088
2018-05,0.035695749890432005,0.05099334510186915,0.05099334510186915,0.05099334510186915,0.001497742163470317,0.029395612385257154,0.029395612385257154,0.016705519311746166,0.024309407885884093
2018-06,-0.0011244838111862387,0.006801464954828695,0.006801464954828695,0.006801464954828695,0.0014870717086457041,0.0023880176174293872,0.0023880176174293872,0.004329534718612749,0.005750766223596271
2018-07,0.024893552901398275,0.018179405944568794,0.018179405944568794,0.018179405944568794,0.0013887745378742267,0.014820577794613765,0.014820577794613765,0.025160629518261292,0.03704655700845483
2018-08,0.03154618578438395,0.04517342102022237,0.04517342102022237,0.04517342102022237,0.0015858338057652688,0.02610181353679053,0.02610181353679053,0.021808290855550656,0.03191951938044335
2018-09,-0.012438269979066496,-0.014675165387730393,-0.014675165387730393,-0.014675165387730393,0.0013995964568531694,-0.008571279636647906,-0.008571279636647906,0.004430363438460149,0.00594574692926364
2018-10,-0.08021019834178567,-0.10118114915400056,-0.10118114915400056,-0.10118114915400056,0.0017057058456710905,-0.059895213883371705,-0.059895213883371705,-0.04550088997126485,-0.06910418787973283
2018-11,0.0033241439087958735,0.02189840470478055,0.02189840470478055,0.02189840470478055,0.0018594288901352396,0.009027325834570553,0.009027325834570553,0.012985942474240822,0.018549199266293614
2018-12,-0.10761738527692621,-0.11112081905197257,-0.11112081905197257,-0.11112081905197257,0.0018273585167005724,-0.07230361527073273,-0.07230361527073273,-0.058089807230691085,-0.08804839010438692
2019-01,0.08750362806235934,0.11713008904815747,0.11713008904815747,0.11713008904815747,0.0017496085492318958,0.06879444188658289,0.06879444188658289,0.05396029235625218,0.08006563425976232
2019-02,0.040939898750212755,0.04855907928866543,0.04855907928866543,0.04855907928866543,0.0018484434673040617,0.030449140502060747,0.030449140502060747,0.022226781405061846,0.03241595037394074
2019-03,-0.014934482406154803,-0.008580151395675473,-0.008580151395675473,-0.008580151395675473,0.0017496107642795966,-0.007255007679183558,-0.007255007679183558,0.012650121020489827,0.018100376148594943
2019-04,0.02806089264601086,0.035863815076530914,0.035863815076530914,0.035863815076530914,0.0019249317082039585,0.021949879810248575,0.021949879810248575,0.02787670305564475,0.04085258872936515
2019-05,-0.0768903898825698,-0.07177146320711625,-0.07177146320711625,-0.07177146320711625,0.0021223796246712112,-0.048846491155004945,-0.048846491155004945,-0.04180689829156151,-0.06377153724967788
2019-06,0.0719166819375725,0.06968863653249513,0.06968863653249513,0.06968863653249513,0.001815344104139971,0.047806887524735865,0.047806887524735865,0.04699618463140739,0.0695866048950411
2019-07,0.013053650406294581,0.012000936165990517,0.012000936165990517,0.012000936165990517,0.00180441431580447,0.008953000296029854,0.008953000296029854,0.010681218389402428,0.015119620426201408
2019-08,-0.04115344534285015,-0.039675029582343035,-0.039675029582343035,-0.039675029582343035,0.001694894674187264,-0.02637786008366864,-0.02637786008366864,-0.010597489925909215,-0.016743682225957457
2019-09,0.028799559962397803,0.01366740448048498,0.01366740448048498,0.01366740448048498,0.0016184953262892154,0.014695153256390666,0.014695153256390666,0.013511703331292665,0.01945830733379439
2019-10,0.017994576867474965,0.016505565463580618,0.016505565463580618,0.016505565463580618,0.0016068784720391083,0.012035673601031563,0.012035673601031563,0.015272228159124508,0.02210490300266721
2019-11,0.033845398244057634,0.0419997389273532,0.0419997389273532,0.0419997389273532,0.0010822488127766317,0.025642461994729155,0.025642461994729155,0.024492619718821475,0.0361978051718439
2019-12,0.02546190742866261,0.02166778814499226,0.02166778814499226,0.02166778814499226,0.0011160906881289012,0.016081928753927926,0.016081928753927926,0.01974257079720787,0.029055810851747355
2020-01,-0.035593679744484574,-0.020164077390948942,-0.020164077390948942,-0.020164077390948942,0.0012033247113494294,-0.01818481080802803,-0.01818481080802803,0.00013190436906884706,-0.0004038058020714441
2020-02,-0.10703460753502425,-0.085335843869072,-0.085335843869072,-0.085335843869072,0.0011811787246116534,-0.0637297575598282,-0.0637297575598282,-0.05238384630272819,-0.07916635881639811
2020-03,-0.18722644208505157,-0.2195975444792494,0.002044768817171194,0.0010447688171711942,0.002044768817171194,-0.06104563481690306,-0.06137896815023639,-0.08256588549162092,-0.12487121264601697
2020-04,0.12488937522023047,0.14553012628360418,-0.0001969074714431862,-0.0001969074714431862,-0.0001969074714431862,0.041498520092448025,0.041498520092448025,0.08459018168285018,0.12698372625999688
2020-05,0.05074582836586394,0.07652725891757317,-0.0001743247174391671,-0.0001743247174391671,-0.0001743247174391671,0.01679905964366187,0.01679905964366187,0.03170539838207346,0.047645259931829775
2020-06,0.01630491080500751,0.025908757146309025,0.0,0.0,0.0,0.005434970268335837,0.005434970268335837,0.011823000894738348,0.017734501342107523
2020-07,0.04488920110515182,0.04597872782681334,0.00010935647880083721,0.00010935647880083721,0.00010935647880083721,0.015035971354251165,0.015035971354251165,0.03929802871386067,0.0588923648313906
2020-08,0.04735222561426289,0.03962713059021006,0.0,0.0,0.0,0.015784075204754295,0.015784075204754295,0.04653096912889302,0.06979645369333953
2020-09,-0.034176854236000365,-0.025842165365759784,-0.00021868904253785626,-0.00021868904253785626,-0.00021868904253785626,-0.011538077440358691,-0.011538077440358691,-0.025035270102662117,-0.03744356063272425
2020-10,-0.0032872805690279394,0.021521517307984128,0.00010936843894815418,0.00010936843894815418,0.00010936843894815418,-0.0010228478970438768,-0.0010228478970438768,-0.01658594629325442,-0.024933603659355708
2020-11,0.12652581109462813,0.1577876001659244,-0.00010935647880072619,-0.00010935647880072619,-0.00010935647880072619,0.042102366045675556,0.042102366045675556,0.07248149705389313,0.10877692382024007
2020-12,0.052150244076837105,0.07513441858656944,0.07513441858656944,0.07413441858656944,3.27509844399998e-05,0.04243913788261552,0.042105804549282186,0.02470976608578068,0.03704827363645102
2021-01,0.029375326296057658,0.020084283062615116,0.020084283062615116,0.020084283062615116,0.0,0.016486536452890922,0.016486536452890922,-0.0067936351213442325,-0.010190452682016349
2021-02,0.06378694376211591,0.06168472449776874,0.06168472449776874,0.06168472449776874,-0.00010906713067004858,0.0417875337097382,0.0417875337097382,0.01850060416192726,0.027805439808225918
2021-03,0.06028651058614476,0.018138065044729812,0.018138065044729812,0.018138065044729812,-0.00010947603953603835,0.026105033197112843,0.026105033197112843,0.030229801808841345,0.04539944073303004
2021-04,0.027068808774589614,0.03928420330490878,0.03928420330490878,0.03928420330490878,0.0,0.02211767069316613,0.02211767069316613,0.03527360418205783,0.05291040627308674
2021-05,0.028134810149072376,0.00040456436299041165,0.00040456436299041165,0.00040456436299041165,-0.00010948802585153405,0.009476628828737083,0.009476628828737083,0.004340769654198717,0.006565898494223843
2021-06,-0.009307222998426123,0.014642757613351431,0.014642757613351431,0.014642757613351431,-0.00021810655711507199,0.0017058093526034115,0.0017058093526034115,0.014879142478951501,0.022427766996984788
2021-07,-0.008881556186532524,-0.014781553796561986,-0.014781553796561986,-0.014781553796561986,-0.00010962319904916917,-0.007924244394047894,-0.007924244394047894,0.016238357656044828,0.02441234808359183
2021-08,0.0291108458867817,0.019644107523208776,0.019644107523208776,0.019644107523208776,-0.00010963521761253592,0.01621510606412598,0.01621510606412598,0.01980341430933156,0.02975993907280361
2021-09,-0.030105764163999016,-0.03124298812951387,-0.03124298812951387,-0.03124298812951387,0.00010964723881135008,-0.020413035018233845,-0.020413035018233845,-0.031033817155474857,-0.04660554935261796
2021-10,0.05833369561748425,0.04948099667114447,0.04948099667114447,0.04948099667114447,-0.00010963521761253592,0.035901685690338726,0.035901685690338726,0.0467391485174492,0.07016354038498007
2021-11,-0.017636179681743802,-0.04287767841258927,-0.04287767841258927,-0.04287767841258927,-0.00021810265980959365,-0.020243986918047557,-0.020243986918047557,-0.0054292645800278665,-0.008034845540137003
2021-12,0.04103905391310181,0.033964799876265994,0.033964799876265994,0.033964799876265994,0.0,0.025001284596455932,0.025001284596455932,0.030831811959450246,0.04624771793917537
2022-01,-0.04725317444464194,-0.07875770241712521,-0.07875770241712521,-0.07875770241712521,0.0,-0.04200362562058905,-0.04200362562058905,-0.035160789247023816,-0.052741183870535724
