mes,NFCI
1998-12,-0.185
1999-01,-0.269
1999-02,-0.351
1999-03,-0.403
1999-04,-0.424
1999-05,-0.398
1999-06,-0.327
1999-07,-0.207
1999-08,-0.145
1999-09,-0.093
1999-10,-0.102
1999-11,-0.16
1999-12,-0.165
2000-01,-0.205
2000-02,-0.187
2000-03,-0.087
2000-04,-0.026
2000-05,0.033
2000-06,0.006
2000-07,-0.111
2000-08,-0.196
2000-09,-0.193
2000-10,-0.164
2000-11,-0.1
2000-12,-0.081
2001-01,-0.218
2001-02,-0.272
2001-03,-0.247
2001-04,-0.328
2001-05,-0.42
2001-06,-0.459
2001-07,-0.499
2001-08,-0.43
2001-09,-0.335
2001-10,-0.38
2001-11,-0.369
2001-12,-0.366
2002-01,-0.461
2002-02,-0.491
2002-03,-0.501
2002-04,-0.579
2002-05,-0.625
2002-06,-0.537
2002-07,-0.438
2002-08,-0.378
2002-09,-0.325
2002-10,-0.355
2002-11,-0.425
2002-12,-0.443
2003-01,-0.497
2003-02,-0.512
2003-03,-0.563
2003-04,-0.658
2003-05,-0.688
2003-06,-0.689
2003-07,-0.686
2003-08,-0.642
2003-09,-0.654
2003-10,-0.688
2003-11,-0.687
2003-12,-0.695
2004-01,-0.761
2004-02,-0.791
2004-03,-0.779
2004-04,-0.714
2004-05,-0.669
2004-06,-0.66
2004-07,-0.669
2004-08,-0.674
2004-09,-0.671
2004-10,-0.678
2004-11,-0.687
2004-12,-0.667
2005-01,-0.674
2005-02,-0.681
2005-03,-0.634
2005-04,-0.579
2005-05,-0.568
2005-06,-0.572
2005-07,-0.582
2005-08,-0.566
2005-09,-0.533
2005-10,-0.55
2005-11,-0.546
2005-12,-0.527
2006-01,-0.569
2006-02,-0.597
2006-03,-0.589
2006-04,-0.579
2006-05,-0.541
2006-06,-0.487
2006-07,-0.518
2006-08,-0.562
2006-09,-0.565
2006-10,-0.587
2006-11,-0.585
2006-12,-0.591
2007-01,-0.64
2007-02,-0.625
2007-03,-0.569
2007-04,-0.549
2007-05,-0.511
2007-06,-0.481
2007-07,-0.252
2007-08,0.244
2007-09,0.111
2007-10,0.028
2007-11,0.513
2007-12,0.556
2008-01,0.443
2008-02,0.813
2008-03,0.969
2008-04,0.674
2008-05,0.528
2008-06,0.735
2008-07,0.737
2008-08,0.856
2008-09,1.809
2008-10,2.824
2008-11,3.101
2008-12,2.736
2009-01,2.145
2009-02,2.135
2009-03,1.912
2009-04,1.368
2009-05,0.871
2009-06,0.719
2009-07,0.417
2009-08,0.231
2009-09,0.104
2009-10,0.025
2009-11,-0.029
2009-12,-0.151
2010-01,-0.203
2010-02,-0.249
2010-03,-0.428
2010-04,-0.375
2010-05,-0.096
2010-06,-0.097
2010-07,-0.27
2010-08,-0.293
2010-09,-0.357
2010-10,-0.461
2010-11,-0.48
2010-12,-0.554
2011-01,-0.624
2011-02,-0.601
2011-03,-0.576
2011-04,-0.627
2011-05,-0.592
2011-06,-0.551
2011-07,-0.43
2011-08,-0.185
2011-09,-0.094
2011-10,-0.159
2011-11,-0.134
2011-12,-0.207
2012-01,-0.373
2012-02,-0.455
2012-03,-0.483
2012-04,-0.429
2012-05,-0.314
2012-06,-0.324
2012-07,-0.414
2012-08,-0.503
2012-09,-0.566
2012-10,-0.584
2012-11,-0.586
2012-12,-0.627
2013-01,-0.669
2013-02,-0.677
2013-03,-0.693
2013-04,-0.734
2013-05,-0.716
2013-06,-0.657
2013-07,-0.687
2013-08,-0.688
2013-09,-0.7
2013-10,-0.75
2013-11,-0.79
2013-12,-0.798
2014-01,-0.782
2014-02,-0.795
2014-03,-0.793
2014-04,-0.785
2014-05,-0.804
2014-06,-0.797
2014-07,-0.754
2014-08,-0.736
2014-09,-0.685
2014-10,-0.655
2014-11,-0.66
2014-12,-0.582
2015-01,-0.514
2015-02,-0.533
2015-03,-0.546
2015-04,-0.553
2015-05,-0.554
2015-06,-0.547
2015-07,-0.506
2015-08,-0.424
2015-09,-0.411
2015-10,-0.472
2015-11,-0.447
2015-12,-0.363
2016-01,-0.305
2016-02,-0.326
2016-03,-0.38
2016-04,-0.393
2016-05,-0.381
2016-06,-0.357
2016-07,-0.367
2016-08,-0.36
2016-09,-0.346
2016-10,-0.387
2016-11,-0.436
2016-12,-0.473
2017-01,-0.492
2017-02,-0.493
2017-03,-0.486
2017-04,-0.513
2017-05,-0.55
2017-06,-0.571
2017-07,-0.579
2017-08,-0.562
2017-09,-0.572
2017-10,-0.598
2017-11,-0.605
2017-12,-0.616
2018-01,-0.606
2018-02,-0.545
2018-03,-0.498
2018-04,-0.54
2018-05,-0.567
2018-06,-0.543
2018-07,-0.566
2018-08,-0.601
2018-09,-0.596
2018-10,-0.556
2018-11,-0.466
2018-12,-0.433
2019-01,-0.513
2019-02,-0.586
2019-03,-0.61
2019-04,-0.618
2019-05,-0.583
2019-06,-0.579
2019-07,-0.581
2019-08,-0.53
2019-09,-0.514
2019-10,-0.554
2019-11,-0.574
2019-12,-0.559
2020-01,-0.626
2020-02,-0.294
2020-03,0.275
2020-04,0.161
2020-05,-0.271
2020-06,-0.387
2020-07,-0.478
2020-08,-0.511
2020-09,-0.495
2020-10,-0.51
2020-11,-0.572
2020-12,-0.609
2021-01,-0.623
2021-02,-0.631
2021-03,-0.652
2021-04,-0.686
2021-05,-0.698
2021-06,-0.691
2021-07,-0.66
2021-08,-0.652
2021-09,-0.658
2021-10,-0.625
2021-11,-0.554
2021-12,-0.559
2022-01,-0.543
2022-02,-0.437
2022-03,-0.37
2022-04,-0.332
2022-05,-0.253
2022-06,-0.163
2022-07,-0.213
2022-08,-0.219
2022-09,-0.097
2022-10,-0.117
2022-11,-0.176
2022-12,-0.218
2023-01,-0.304
2023-02,-0.267
2023-03,-0.147
2023-04,-0.187
2023-05,-0.212
2023-06,-0.228
2023-07,-0.28
2023-08,-0.333
2023-09,-0.311
2023-10,-0.283
2023-11,-0.32
2023-12,-0.367
2024-01,-0.397
2024-02,-0.427
2024-03,-0.433
2024-04,-0.414
2024-05,-0.41
2024-06,-0.381
2024-07,-0.361
2024-08,-0.391
2024-09,-0.428
2024-10,-0.446
2024-11,-0.477
2024-12,-0.486
2025-01,-0.509
2025-02,-0.481
