mes,BIL,IJR,IWM,SPY,VB,VFMF
2007-01,,25.78842544555664,61.19580078125,100.53400421142578,52.36960220336914,
2007-02,,25.62367057800293,60.794776916503906,98.56175994873047,52.33206558227539,
2007-03,,26.061904907226562,61.390708923339844,99.7039794921875,52.9277458190918,
2007-04,,26.668262481689453,62.38749694824219,104.12041473388672,54.33102035522461,
2007-05,70.37737274169922,27.834941864013672,65.11507415771484,107.65222930908203,56.75490951538086,
2007-06,70.68465423583984,27.386812210083008,64.17862701416016,106.07826232910156,55.97446823120117,
2007-07,70.96710205078125,26.000146865844727,59.688411712646484,102.75695037841797,52.49247741699219,
2007-08,71.26930236816406,26.485475540161133,60.95803451538086,104.07554626464844,53.295440673828125,
2007-09,71.40467071533203,26.91425323486328,62.11521911621094,108.10482788085938,54.53363800048828,
2007-10,71.68563842773438,27.37729263305664,63.884647369384766,109.57142639160156,55.89943313598633,
2007-11,71.96914672851562,25.428668975830078,59.48442077636719,105.32748413085938,52.184791564941406,
2007-12,72.13873291015625,25.160451889038086,59.100772857666016,104.1413803100586,51.795406341552734,
2008-01,72.4223403930664,23.802207946777344,55.23857879638672,97.84490203857422,48.485450744628906,
2008-02,72.54080963134766,23.237247467041016,53.61898422241211,95.31632995605469,47.328857421875,
2008-03,72.71007537841797,23.21873664855957,53.261924743652344,94.46398162841797,46.92887878417969,
2008-04,72.66255950927734,24.245424270629883,55.68754959106445,98.96632385253906,49.59312438964844,
2008-05,72.73236083984375,25.252742767333984,58.237945556640625,100.46233367919922,51.9909553527832,
2008-06,72.90231323242188,23.36966323852539,53.85468673706055,92.06616973876953,47.5987434387207,
2008-07,73.0390853881836,23.812437057495117,55.83280944824219,91.23887634277344,48.29144287109375,
2008-08,73.09639739990234,24.833913803100586,57.82910919189453,92.64885711669922,49.844322204589844,
2008-09,73.46795654296875,23.181060791015625,53.34648895263672,83.92378234863281,45.40644454956055,
2008-10,73.29708862304688,18.60016632080078,42.16724395751953,70.06067657470703,35.48020553588867,
2008-11,73.26033782958984,16.395410537719727,37.138545989990234,65.18401336669922,31.430545806884766,
2008-12,73.28264617919922,17.231138229370117,38.92333221435547,65.82254791259766,33.05448913574219,
2009-01,73.4266357421875,15.2168550491333,35.160640716552734,60.41758728027344,29.863447189331055,
2009-02,73.4234390258789,13.418107986450195,30.947364807128906,53.9257926940918,26.275466918945312,
2009-03,73.4186782836914,14.30960750579834,33.348148345947266,58.41837692260742,28.510786056518555,
2009-04,73.46348571777344,16.897056579589844,38.479244232177734,64.22201538085938,33.82979202270508,
2009-05,73.47148895263672,17.211627960205078,39.78778839111328,67.97603607177734,35.7377815246582,
2009-06,73.46190643310547,17.517597198486328,40.509490966796875,67.93150329589844,35.62875747680664,
2009-07,73.41541290283203,19.22479820251465,44.22463607788086,72.99958801269531,39.0319938659668,
2009-08,73.46668243408203,19.682165145874023,45.521854400634766,75.69615173339844,40.69856262207031,
2009-09,73.48593139648438,20.685203552246094,48.05405807495117,78.38013458251953,43.260719299316406,
2009-10,73.4891357421875,19.53120231628418,44.93502426147461,76.87322998046875,40.51164245605469,
2009-11,73.45868682861328,20.04102325439453,46.338993072509766,81.6091537475586,41.843353271484375,
2009-12,73.48110961914062,21.6920166015625,50.01124572753906,83.16797637939453,45.15241622924805,
2010-01,73.48110961914062,21.010173797607422,48.145023345947266,80.14544677734375,43.632896423339844,
2010-02,73.46510314941406,21.874357223510742,50.2995719909668,82.64556884765625,45.73501205444336,
2010-03,73.46510314941406,23.616539001464844,54.439579010009766,87.67697143554688,49.59991455078125,
2010-04,73.43305969238281,24.991025924682617,57.53092575073242,89.03335571289062,52.37163162231445,
2010-05,73.46510314941406,23.203397750854492,53.195003509521484,81.9592514038086,48.30852508544922,
2010-06,73.48110961914062,21.5566349029541,49.07592010498047,77.71862030029297,44.568267822265625,
2010-07,73.4490737915039,22.94623565673828,52.37917709350586,83.02682495117188,47.773075103759766,
2010-08,73.4490737915039,21.202274322509766,48.480140686035156,79.29224395751953,44.59975814819336,
2010-09,73.4490737915039,23.588985443115234,54.513641357421875,86.39324951171875,49.954227447509766,
2010-10,73.46510314941406,24.590991973876953,56.774959564208984,89.69364166259766,51.993656158447266,
2010-11,73.46510314941406,25.52912139892578,58.75358963012695,89.69364166259766,53.64727020263672,
2010-12,73.4490737915039,27.464279174804688,63.47349166870117,95.68985748291016,57.84728240966797,
2011-01,73.4490737915039,27.496356964111328,63.23819351196289,97.91942596435547,58.253501892089844,
2011-02,73.4490737915039,28.71574592590332,66.74287414550781,101.3208999633789,61.47120666503906,
2011-03,73.4490737915039,29.55978012084961,68.42684173583984,101.33307647705078,62.917781829833984,
2011-04,73.4490737915039,30.335342407226562,70.23162841796875,104.267822265625,64.7657241821289,
2011-05,73.46510314941406,30.07415199279785,68.97154998779297,103.09851837158203,63.49923324584961,
2011-06,73.46510314941406,29.52155303955078,67.31309509277344,101.35929870605469,62.16908645629883,
2011-07,73.46510314941406,28.587430953979492,65.02025604248047,99.33164978027344,59.91485595703125,
2011-08,73.46510314941406,26.360830307006836,59.239078521728516,93.87081909179688,54.912689208984375,
2011-09,73.4490737915039,23.64494514465332,52.63374710083008,87.35421752929688,48.88294982910156,
2011-10,73.41702270507812,27.17108154296875,60.582000732421875,96.88868713378906,56.354393005371094,
2011-11,73.43305969238281,27.340736389160156,60.352813720703125,96.49495697021484,56.107486724853516,
2011-12,73.42023468017578,27.685518264770508,60.66368865966797,97.50320434570312,56.24028778076172,
2012-01,73.40422058105469,29.509593963623047,64.99854278564453,102.02485656738281,60.147342681884766,
2012-02,73.42023468017578,30.150049209594727,66.66836547851562,106.45330047607422,62.11698913574219,
2012-03,73.40422058105469,31.023582458496094,68.32484436035156,109.87718963623047,63.5611686706543,
2012-04,73.42023468017578,30.600788116455078,67.21924591064453,109.1436996459961,62.91523742675781,
2012-05,73.42023468017578,28.685949325561523,62.79679870605469,102.58897399902344,58.68427658081055,
2012-06,73.38822174072266,29.901622772216797,65.9693832397461,106.75216674804688,61.39727020263672,
2012-07,73.38822174072266,29.669008255004883,64.96607208251953,108.01498413085938,60.78357696533203,
2012-08,73.38822174072266,30.823938369750977,67.26288604736328,110.72107696533203,62.947540283203125,
2012-09,73.38822174072266,31.533935546875,69.45626831054688,113.52792358398438,64.7077407836914,
2012-10,73.40422058105469,30.817914962768555,67.94963836669922,111.46198272705078,63.77918243408203,
2012-11,73.38822174072266,31.21887969970703,68.32421112060547,112.09276580810547,64.57856750488281,
2012-12,73.38822174072266,32.19956588745117,70.79676055908203,113.09430694580078,66.52093505859375,
